Channel Name,Subscribers,Total Views,Average Likes,Average Comments,Engagement Rate,Upload Frequency,Video Titles
WorkerVoice.in,1230000,107504066,514,83,0.0006,12,"['Sahara India ka Paisa Kab Milega और प्राईवेट कर्मचारी का नौकरी से जुड़ा सवाल फोन on Sunday Live', 'Sahara India Ka Paisa Milega ki Nahin, सहारा पोर्टल पर अब क्लेम करें या नहीं | आपके अहम सवाल का जबाव', 'Sahara India Refund payment मिला कि नहीं जब रिक्लेम किया, Sahara India Payment Ke Bare Mein जानकारी', 'Central Government Security Guard Salary अब 27 हजार से भी ज्यादा मिलेगा, Private Security Guard News', 'Sahara India Portal रिफंड नहीं मिला, Canara Bank में कितना सैलरी मिलना चाहिए Worker Voice Live', 'Kishan Fasal Muavja 2025 विरोध प्रदर्शन, अनुमंडल कृषि पदाधिकारी के सामनेसुरजीत शामिल ने रखा यह मांग', 'Kisan ko Muavja Kaise Milega - किसानों का फसल नुकसान मुआवजा, पटोरी कृषि पदाधिकारी ने कहा?', 'Sahara India ka Paisa और प्राईवेट कर्मचारी का नौकरी से जुड़ा सवाल फोन Live on Sunday @WorkerVoice', 'Sahara India Ka Paisa पाने का बेहतरीन मौका, मोदी जी के चुनाव से पहले यह करें | Sahara Refund 2025', 'Minimum Wages in Delhi April 2025 मंहगाई भत्ता खुशखबरी, दिल्ली सरकार प्राइवेट कर्मचारी सैलरी बढ़ोतरी?']"
CA Rachana Phadke Ranade,5230000,310025611,1480,167,0.0005,7,"['Where to Invest Rs 10 Lakhs Now? | Investment Strategies | CA Rachana Ranade', 'Where are FIIs Investing? | Nifty Levels | CA Rachana Ranade', 'India | Pakistan | Impact on Stock Market | Analyzing Past Trends | CA Rachana Ranade', 'Gold Outlook 2025 | Is this the Right Time to Buy Gold? | CA Rachana Ranade', ""Investor's Favourite Mutual Fund Type in 2025 |  CA Rachana Ranade"", 'Top 5 Reasons Why This Rally Could Sustain | CA Rachana Ranade', 'Nifty Above 23,800: What’s Next? | CA Rachana Ranade', 'Why do we make Dumb Investing Decisions? |  Behavioural Finance |  CA Rachana Ranade', 'Bengaluru LIVE  Event: Important announcement | CA Rachana Ranade', 'When the Boss Leaves for Bengaluru... 🥺 | Har Ghar Investor | CA Rachana Ranade #shorts']"
Invest Aaj For Kal,3010000,709634335,2584,32,0.0004,21,"['How many times your data is being hacked? Financial loss', 'Stocks buy at 40% discount', 'Operator stock pata karne ki trick', 'NRI Demat account opening - Step by Step process | NRI (Non resident Indian) Demat account opening', '50000 Rs per girl child', '5000 Rs per month | Skill vs marks', 'Bitcoin, Nifty, Gold - Analysis | Stock market crash again? |', 'Car sale pe 2 lakh Rs loss', 'Ather Energy IPO | Will It Ride India’s EV Growth? | Price, Anchor book and Details |', 'India vs Pakistan War - Stock market history']"
Dr Ujjwal Patni Business coach,6760000,473135993,1357,23,0.0003,6,"['Cobra Effect | सांप लाओ, पैसा पाओ | Dr Ujjwal Patni', 'Shocking fraud ? Gpay, PhonePe, Paytm, Digital arrest, ठगी से कैसे  बचें? Dr Ujjwal Patni', 'सोना लोगे\xa0या\xa0पानी? Dr Ujjwal Patni', 'गुटखा-तंबाकू खाते ही नौकरी\xa0जाएगी | Dr Ujjwal Patni', 'How to sell your talent ? अपनी कीमत कैसे बढायें? Dr\xa0Ujjwal\xa0Patni', 'रहस्य! भगवान से अपना काम कैसे करायें? Dr Ujjwal Patni', 'अपनी असली ताकत को कैसे पहचानें? Dr Ujjwal Patni', 'सबको करना चाहिए BABA\xa0TEST | Dr Ujjwal Patni', ""The Price of Ambition: Lessons from Blusmart's Downfall"", 'आज से SALES बंद | Dr Ujjwal\xa0Patni']"
Sarkari DNA,3730000,568982218,824,66,0.0002,17,"['PM Awas Yojana Gramin List 2025 Kaise Dekhein | Naam Check Karein & List Download Karein', 'PM Awas Yojana Gramin Survey Online Form 2025 | pm awas gramin online apply 2025 | pm awas gramin', 'Angel One Account Opening 2025 | angel broking account opening | angel one app account kaise banaye', 'E Shram Card Kaise Banaye 2025 | e shram card online apply | e shram card registration online 2025', 'Best Zero Balance Bank Account in 2025|| Zero Balance Bank Account Opening Online', 'New voter id card kaise banaye 2025 | Voter Card New Portal | Mobile se voter card kaise apply kare', 'Aadhar card me mobile no link kaise kare 2025 | How to Link Mobile Number to Aadhar Card | uidai', 'PVC Voter Card order Online 2025 | Voter Card ghar kaise mangaye | Voter Card apply online', 'CSC id registration 2025 | csc id kaise banaye | csc center kaise khole | csc id kaise milega', 'PAN Card Correction Online 2025 | PAN 2.0 | पैन कार्ड में संशोधन ऐसे करे | PAN Card 2025 Correction']"
Dear Sir,20300000,2027000807,4598,262,0.0002,11,"['ERROR DETECTION & CORRECTION CUET | IN ENGLISH GRAMMAR | CONCEPT/RULES/PRACTICE/LEARN | CUET 2025', 'CUET/GAT MOST EXPECTED QUESTIONS | MOST IMPORTANT QUESTIONS | SCORE 100% NOW', 'FOREIGN WORDS | CUET', 'ONE SHOT FOR CUET | FULL REVISION', '🔥 CUET FREE MOCKS 🔥 | WELL RESEARCHED SET OF QUESTIONS & ANSWERS | TARGET FULL MARKS', 'VOCAB BOOSTER | LEARN 1000 VOCAB | CUET | VOCABULARY/WORDS/ENGLISH | CUET/SSC/UPSC', '2025 CUET/GAT | QUESTIONS/STATEMENT & CONCLUSION/SITTING ARRANGEMENT/RANKING/SEQUENCE & SERIES', 'English Vocab Booster 🔥 by @DearSir | #shorts #vocabulary #cuetenglish', 'DIRECT AND INDIRECT SPEECH CUET | IN ENGLISH GRAMMAR | CONCEPT/RULES/PRACTICE/LEARN | CUET 2025', ""because it's against humanity 😞 #pahalgamattack #kashmir #""]"
Upcoming World,1500000,312960790,360,34,0.0001,8,"['Instagram Verification Badge Only ₹45 | Instagram Par 45 Rupees Me Blue Tick Kaise Lagaye 2025', 'Instagram Par Professional Dashboard Kaise Hataye |How To Delete Professional Dashboard On Instagram', 'Instagram Blend Feature Kya Hai ? | How to Use Instagram Blend | What is Instagram Blend Use ?', 'What is Edits On Instagram App | How to Edit Reels Videos On Instagram Edits App | Edits App Launch', 'How To Change Instagram Password 2025 | Instagram Password Change Kaise Kare', 'Facebook Account Delete Kaise Kare | How To Delete Facebook Account Permanently | Fb id delete Kaise', 'Blend On Instagram | What is Instagram Blend | How to use Instagram Blend works ?', 'Whatsapp status me photo ke sath song kaise lagaye | add music with photo in whatsapp status 2025', 'facebook ka password kaise pata kare | facebook password kaise pata kare apna | fb password change', 'UNLOCK THIS FROM REEL DESIGN | Instagram New Feature Lock Reel | Reel Lock On Instagram New Update']"
Money9,1790000,205920036,186,12,0.0001,445,"['Cibil Score कम होने के बावजूद ऐसे मिलेगा Personal Loan, जान लें तरीका', 'Right Time to Withdrawal Provident Fund | कब निकालना चाहिए Provident Fund? | Money9', 'PPF अकाउंट से समय से पहले निकाल सकते हैं ऐसे पैसा, जानिए क्या है पैसे निकालने के 2 आसान तरीके?', 'Thar | Thar Roxx | Scorpio | Maruti Suzuki | Tata Motors | Hyundai | Mahindra क\u200dिसने क\u200dितनी की सेल?', ""Chris Wood's Prediction on stock Market : US Share Market नहीं, Indian Stock Market पर खेला दांव!"", 'HAL, BEL, BDL, Mazagon Dock, HUL, ITC, Cipla, Sun Pharma, Infosys, TCS, HCL Share में क्या करें?', 'Mutual Fund Investment Strategy 2025 | आसमान से गिरे खजूर पर अटके, इस साल नहीं बन पाएगा पैसा?', 'Adani Greens Share Price | Adani Greens के क्या हैं Long Term और Short Term Plan?', 'SBI, Coal India, Canara Bank, Kalyan Jewellers, Titan, Paytm क्यों रहेंगे फोकस में? Market Masala', 'FIIs vs DIIs | FIIs Selling | FIIs Buying : अब भारतीय बाजार पर चलेगा DIIs का राज | LIC | LIC News']"
Biz Tak,1960000,948174415,263,22,0,360,"['India-Pakistan युद्ध हुआ तो कितना सुरक्षित है आपका पोर्टफोलियो? | Fayde Ke Fund | BIZ Tak', 'Share Market का असली बॉस कौन, FII या DII? | Hisab Kitab | BIZ Tak', 'Gold की तेज़ी पर ब्रेक, Uttar Pradesh मे गिरे भाव! | BIZ Tak', 'Share Market के लिए अगला हफ्ता धमाकेदार! आएगा तूफान या बनेगा नया हाई? | Market Next Week | BIZ Tak', 'Warren Buffet की Warning, क्या डूबेगा Dollar? | Donald Trump | BIZ Tak', 'Warren Buffet ने लिया रिटायरमेंट! कौन होगा Berkshire Hathway का नया CEO? | BIZ Tak', 'Mutual Funds ने April में दिया 7% तक का रिटर्न, निवेशक मालामाल! | BIZ Tak', 'India ने चल दी आखिरी चाल, Pakistan पूरी तरह बर्बाद! | BIZ Tak', 'SBI Q4FY25 Result: 10% गिरा मुनाफा, Share का क्या होगा? | BIZ Tak', 'SIP शुरू करने का सही समय! ये 3 Mutual Funds कराएंगे दमदार कमाई? | Fayde Ke Fund | BIZ Tak']"
NDTV Profit,1250000,374302739,13,1,0,421,"['Watch LIVE: WAVES Summit In Mumbai | Aamir Khan LIVE |  Marya LIVE', ""How THIS Ace Investor Beat Warren Buffett's Returns For 3 Decades"", 'Watch LIVE: WAVES Summit In Mumbai | Sanjay Pugalia LIVE', 'BluSmart Drivers Protest Against Suspension Of Fleet', ""SBI's CS Setty on Banking Boom & Core Sector Challenges, Impact Of Tariffs, And More"", ""'Indian Commodity Market Has To Develop More For Emerging Products': MCX's Praveena Rai"", ""'Millions Need To Be Aware Of AI': Ronnie Screwvala On Bringing Courses In AI And Machine Learning"", ""Value Or Luxury Food At Single Or Group Serve: What Is Rebel Foods' 2x2 Matrix Business Model?"", 'Jaydeep Burman On Missing Kolkata Rolls And The Idea Of Starting A Store | Rebel Foods', ""'Significant Participation From DIIs Are Providing Stability To The Markets': HDFC's Navneet Munot""]"
